id,workId,driveFileId,url,alt,displayOrder,createdAt,updatedAt
9a2d8b14-8ea3-4f34-b3a1-109877cb3e2e,1d9d2f84-1f58-4d8d-8ca6-6ab4db6d5d2f,14ongVtldZFkLtB2IT-Op4bu0l4m2e8dZ,https://drive.google.com/thumbnail?id=14ongVtldZFkLtB2IT-Op4bu0l4m2e8dZ&sz=w1760,Vue principale fictive de l'œuvre Lignes de fuite 01,1,2026-08-30T16:40:37Z,2026-08-30T16:40:37Z
74258ce1-c3bc-4cd6-95bc-47f6e0046b71,5bb2b0ff-4d4a-4771-b8dc-d91864d44d8d,1I4-_biqhyEr2VQLN6n5Y-3pwNxt6irDO,https://drive.google.com/thumbnail?id=1I4-_biqhyEr2VQLN6n5Y-3pwNxt6irDO&sz=w1760,Vue de détail fictive de l'œuvre Lignes de fuite 01,1,2026-08-30T16:40:37Z,2026-08-30T16:40:37Z
74258ce1-c3bc-4cd6-95bc-47f6e0046b72,1d9d2f84-1f58-4d8d-8ca6-6ab4db6d5d2f,1LP1vSBz9qXsEgehUwsUqlduMbCcUARar,https://drive.google.com/thumbnail?id=1LP1vSBz9qXsEgehUwsUqlduMbCcUARar&sz=w1760,Vue de détail fictive de l'œuvre Lignes de fuite 01,1,2026-08-30T16:40:37Z,2026-08-30T16:40:37Z
56831e54-e497-4b15-a318-29dee7a342e3,5bb2b0ff-4d4a-4771-b8dc-d91864d44d8d,1HjYs4r83ZA8u5NkgHh7AaokpnIplH48r,https://drive.google.com/thumbnail?id=1HjYs4r83ZA8u5NkgHh7AaokpnIplH48r&sz=w2000,Gemini_Generated_Image_mdl7fdmdl7fdmdl7.jpg,2,2026-08-31T13:31:33.695Z,2026-08-31T13:31:33.695Z
3f85f6bf-1c17-4810-878d-9f5edb071f54,1d9d2f84-1f58-4d8d-8ca6-6ab4db6d5d2f,1DVoQXtbSTNENG7BZ1TUq7gWqYSRsE8kp,https://drive.google.com/thumbnail?id=1DVoQXtbSTNENG7BZ1TUq7gWqYSRsE8kp&sz=w2000,IMG-20260506-WA0004.jpg,2,2026-08-31T13:54:57.716Z,2026-08-31T13:54:57.716Z
4e733b40-ad27-4e4a-9a2e-d5b9663d624a,fbf50bf7-ec62-4c18-9a52-335fb2a464ff,1cCK5YaQM_1nyGOvNdwIdnH-K_XTAeJXT,https://drive.google.com/thumbnail?id=1cCK5YaQM_1nyGOvNdwIdnH-K_XTAeJXT&sz=w2000,20251007_112254.jpg,1,2026-08-31T14:05:50.713Z,2026-08-31T14:05:50.713Z
54414600-033a-4c05-8d52-9c1becf72f54,fcc82bc8-265f-49ae-8a6f-d11f5c891064,1-L-nrFLLeMCXj8EhnwWNWXtJm1hMnIdd,https://drive.google.com/thumbnail?id=1-L-nrFLLeMCXj8EhnwWNWXtJm1hMnIdd&sz=w2000,Gemini_Generated_Image_b7em9cb7em9cb7em.jpg,1,2026-08-31T14:09:44.808Z,2026-08-31T14:09:44.808Z
476ea94a-7857-47d2-a367-5dc445ff46d1,d3559ffa-310c-4b1f-9924-8d530f88ee53,1vmzbCow9BsWw2nki0ffao1XZfx7dFHeM,https://drive.google.com/thumbnail?id=1vmzbCow9BsWw2nki0ffao1XZfx7dFHeM&sz=w2000,Gemini_Generated_Image_7o6r227o6r227o6r.jpg,1,2026-08-31T16:36:56.623Z,2026-08-31T16:36:56.623Z
9a00a3d6-4f10-4949-ab10-73ea44eab3b5,154424f4-ce47-4260-9c66-4d8e88f8c6e6,1UqUJELI3mPs7Y9HOc-UhAbpd-jRcKSCg,https://drive.google.com/thumbnail?id=1UqUJELI3mPs7Y9HOc-UhAbpd-jRcKSCg&sz=w2000,112.jpg,1,2026-09-01T08:17:45.872Z,2026-09-01T08:17:45.872Z
13380402-dad6-463c-aefb-db6eaf6aa9b2,154424f4-ce47-4260-9c66-4d8e88f8c6e6,14ndAJEWrwhsMo2iRbQZOKRsUopDcAKwT,https://drive.google.com/thumbnail?id=14ndAJEWrwhsMo2iRbQZOKRsUopDcAKwT&sz=w2000,8336.jpg,2,2026-09-01T08:23:03.866Z,2026-09-01T08:23:03.866Z
